State,County,LILATracts_halfAnd10,LILATracts_1And10,LILATracts_1And20,LILATracts_Vehicle,NumTracts,LILATracts_halfAnd10_ratio,LILATracts_1And10_ratio,LILATracts_1And20_ratio,LILATracts_Vehicle_ratio,LILATracts_halfAnd10_flag,LILATracts_1And10_flag,LILATracts_1And20_flag,LILATracts_Vehicle_flag
Alabama,Autauga County,5,5,3,1,12,0.42,0.42,0.25,0.08,0,0,0,0
Alabama,Baldwin County,4,4,3,3,31,0.13,0.13,0.1,0.1,0,0,0,0
Alabama,Barbour County,5,4,1,3,9,0.56,0.44,0.11,0.33,1,0,0,0
Alabama,Bibb County,0,0,0,1,4,0.0,0.0,0.0,0.25,0,0,0,0
Alabama,Blount County,0,0,0,2,9,0.0,0.0,0.0,0.22,0,0,0,0
Alabama,Bullock County,2,2,1,1,3,0.67,0.67,0.33,0.33,1,1,0,0
Alabama,Butler County,3,3,1,3,9,0.33,0.33,0.11,0.33,0,0,0,0
Alabama,Calhoun County,14,12,12,8,30,0.47,0.4,0.4,0.27,0,0,0,0
Alabama,Chambers County,3,3,3,1,9,0.33,0.33,0.33,0.11,0,0,0,0
Alabama,Cherokee County,0,0,0,0,6,0.0,0.0,0.0,0.0,0,0,0,0
Alabama,Chilton County,1,1,1,3,9,0.11,0.11,0.11,0.33,0,0,0,0
Alabama,Choctaw County,2,2,0,2,4,0.5,0.5,0.0,0.5,1,1,0,1
Alabama,Clarke County,5,5,1,4,9,0.56,0.56,0.11,0.44,1,1,0,0
Alabama,Clay County,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0,0,0
Alabama,Cleburne County,0,0,0,0,4,0.0,0.0,0.0,0.0,0,0,0,0
Alabama,Coffee County,2,2,1,2,14,0.14,0.14,0.07,0.14,0,0,0,0
Alabama,Colbert County,3,2,2,3,14,0.21,0.14,0.14,0.21,0,0,0,0
Alabama,Conecuh County,3,3,0,1,5,0.6,0.6,0.0,0.2,1,1,0,0
Alabama,Coosa County,1,1,0,0,3,0.33,0.33,0.0,0.0,0,0,0,0
